time	V(probe_1)	V(probe_2)	V(probe_3)
5.500000000000000e-09	4.274056e-03	5.357938e-02	2.505198e-03
5.506274140405857e-09	4.352760e-03	5.494763e-02	2.593249e-03
5.513444586583978e-09	4.434361e-03	5.652192e-02	2.693090e-03
5.523210211583978e-09	4.528145e-03	5.869008e-02	2.830125e-03
5.532975836583978e-09	4.593574e-03	6.089685e-02	2.970452e-03
5.542741461583978e-09	4.621047e-03	6.315359e-02	3.115839e-03
5.552507086583978e-09	4.607599e-03	6.546360e-02	3.266696e-03
5.562272711583978e-09	4.558068e-03	6.782138e-02	3.422159e-03
5.572038336583978e-09	4.483344e-03	7.021210e-02	3.580457e-03
5.581803961583977e-09	4.395720e-03	7.261284e-02	3.739412e-03
5.591569586583977e-09	4.304212e-03	7.499561e-02	3.896997e-03
5.601335211583977e-09	4.212338e-03	7.733192e-02	4.051880e-03
5.611100836583977e-09	4.119127e-03	7.959755e-02	4.203831e-03
5.620866461583977e-09	4.022145e-03	8.177680e-02	4.353944e-03
5.630632086583977e-09	3.920468e-03	8.386517e-02	4.504574e-03
5.640397711583977e-09	3.815965e-03	8.586994e-02	4.659011e-03
5.650163336583977e-09	3.712609e-03	8.780879e-02	4.820921e-03
5.659928961583977e-09	3.614719e-03	8.970661e-02	4.993660e-03
5.669694586583977e-09	3.525487e-03	9.159134e-02	5.179587e-03
5.679460211583976e-09	3.446644e-03	9.348942e-02	5.379509e-03
5.689225836583976e-09	3.379233e-03	9.542164e-02	5.592372e-03
5.698991461583976e-09	3.324733e-03	9.739995e-02	5.815239e-03
5.708757086583976e-09	3.285657e-03	9.942575e-02	6.043564e-03
5.718522711583976e-09	3.265186e-03	1.014899e-01	6.271702e-03
5.728288336583976e-09	3.266062e-03	1.035746e-01	6.493556e-03
5.738053961583976e-09	3.289376e-03	1.056560e-01	6.703241e-03
5.747819586583976e-09	3.333892e-03	1.077088e-01	6.895650e-03
5.757585211583976e-09	3.396172e-03	1.097095e-01	7.066828e-03
5.767350836583976e-09	3.471335e-03	1.116401e-01	7.214099e-03
5.777116461583976e-09	3.554003e-03	1.134899e-01	7.335944e-03
5.786882086583975e-09	3.639029e-03	1.152558e-01	7.431682e-03
5.796647711583975e-09	3.721838e-03	1.169419e-01	7.501039e-03
5.806413336583975e-09	3.798484e-03	1.185568e-01	7.543720e-03
5.816178961583975e-09	3.865640e-03	1.201110e-01	7.559095e-03
5.825944586583975e-09	3.920696e-03	1.216140e-01	7.546072e-03
5.835710211583975e-09	3.961955e-03	1.230718e-01	7.503215e-03
5.845475836583975e-09	3.988783e-03	1.244856e-01	7.429074e-03
5.855241461583975e-09	4.001572e-03	1.258517e-01	7.322666e-03
5.865007086583975e-09	4.001418e-03	1.271618e-01	7.184017e-03
5.874772711583975e-09	3.989628e-03	1.284058e-01	7.014624e-03
5.884538336583975e-09	3.967214e-03	1.295734e-01	6.817739e-03
5.894303961583974e-09	3.934579e-03	1.306573e-01	6.598398e-03
5.904069586583974e-09	3.891478e-03	1.316552e-01	6.363150e-03
5.913835211583974e-09	3.837246e-03	1.325707e-01	6.119515e-03
5.923600836583974e-09	3.771164e-03	1.334139e-01	5.875241e-03
5.933366461583974e-09	3.692844e-03	1.341998e-01	5.637486e-03
5.943132086583974e-09	3.602523e-03	1.349467e-01	5.412036e-03
5.952897711583974e-09	3.501230e-03	1.356730e-01	5.202711e-03
5.962663336583974e-09	3.390821e-03	1.363951e-01	5.011042e-03
5.972428961583974e-09	3.273913e-03	1.371242e-01	4.836279e-03
5.982194586583974e-09	3.153703e-03	1.378653e-01	4.675719e-03
5.991960211583973e-09	3.033689e-03	1.386167e-01	4.525308e-03
6.001725836583973e-09	2.917296e-03	1.393700e-01	4.380388e-03
6.011491461583973e-09	2.807452e-03	1.401125e-01	4.236487e-03
6.021257086583973e-09	2.706181e-03	1.408289e-01	4.089997e-03
6.031022711583973e-09	2.614316e-03	1.415045e-01	3.938654e-03
6.040788336583973e-09	2.531388e-03	1.421269e-01	3.781733e-03
6.050553961583973e-09	2.455736e-03	1.426886e-01	3.619955e-03
6.060319586583973e-09	2.384815e-03	1.431876e-01	3.455152e-03
6.070085211583973e-09	2.315637e-03	1.436270e-01	3.289745e-03
6.079850836583973e-09	2.245258e-03	1.440150e-01	3.126183e-03
6.089616461583973e-09	2.171229e-03	1.443623e-01	2.966424e-03
6.099382086583972e-09	2.091939e-03	1.446805e-01	2.811577e-03
6.109147711583972e-09	2.006801e-03	1.449799e-01	2.661767e-03
6.118913336583972e-09	1.916280e-03	1.452681e-01	2.516228e-03
6.128678961583972e-09	1.821748e-03	1.455491e-01	2.373614e-03
6.138444586583972e-09	1.725215e-03	1.458227e-01	2.232448e-03
6.148210211583972e-09	1.628961e-03	1.460857e-01	2.091601e-03
6.157975836583972e-09	1.535160e-03	1.463331e-01	1.950722e-03
6.167741461583972e-09	1.445536e-03	1.465594e-01	1.810495e-03
6.177507086583972e-09	1.361130e-03	1.467605e-01	1.672699e-03
6.187272711583972e-09	1.282210e-03	1.469347e-01	1.540027e-03
6.197038336583972e-09	1.208337e-03	1.470839e-01	1.415700e-03
6.206803961583971e-09	1.138574e-03	1.472130e-01	1.302957e-03
6.216569586583971e-09	1.071769e-03	1.473296e-01	1.204488e-03
6.226335211583971e-09	1.006872e-03	1.474428e-01	1.121945e-03
