time	V(probe_1)	V(probe_2)	V(probe_3)
3.500000000000000e-09	-4.628062e-07	1.500079e-01	2.971887e-06
3.500457943021463e-09	-4.686181e-07	1.500081e-01	2.994749e-06
3.501373829064387e-09	-4.797541e-07	1.500086e-01	3.037658e-06
3.503205601150236e-09	-5.035483e-07	1.500094e-01	3.109453e-06
3.506869145321935e-09	-6.526631e-07	1.500109e-01	3.194556e-06
3.514196233665331e-09	-2.089179e-06	1.500129e-01	3.173386e-06
3.523961858665331e-09	-8.518728e-06	1.500136e-01	2.814581e-06
3.533727483665331e-09	-2.429394e-05	1.500106e-01	2.090155e-06
3.543493108665331e-09	-5.391446e-05	1.500012e-01	1.008261e-06
3.553258733665331e-09	-9.791215e-05	1.499814e-01	-4.008384e-07
3.560265957515618e-09	-1.378206e-04	1.499562e-01	-1.645021e-06
3.565953783580122e-09	-1.747635e-04	1.499230e-01	-2.871582e-06
3.573013958181235e-09	-2.236347e-04	1.498607e-01	-4.707332e-06
3.580230989622312e-09	-2.753114e-04	1.497641e-01	-7.006939e-06
3.589837088687841e-09	-3.460757e-04	1.495724e-01	-1.073574e-05
3.599602713687841e-09	-4.209778e-04	1.492932e-01	-1.511624e-05
3.609368338687841e-09	-5.004532e-04	1.489121e-01	-1.966224e-05
3.619133963687841e-09	-5.851346e-04	1.484227e-01	-2.344346e-05
3.628899588687841e-09	-6.737914e-04	1.478278e-01	-2.503590e-05
3.638665213687841e-09	-7.636732e-04	1.471396e-01	-2.259472e-05
3.648430838687841e-09	-8.517337e-04	1.463779e-01	-1.402969e-05
3.658196463687840e-09	-9.357455e-04	1.455677e-01	2.735018e-06
3.667962088687840e-09	-1.014571e-03	1.447360e-01	2.945701e-05
3.677727713687840e-09	-1.087582e-03	1.439079e-01	6.727941e-05
3.687493338687840e-09	-1.153832e-03	1.431034e-01	1.164929e-04
3.697258963687840e-09	-1.211667e-03	1.423341e-01	1.763970e-04
3.707024588687840e-09	-1.259048e-03	1.416023e-01	2.452850e-04
3.716790213687840e-09	-1.294319e-03	1.409004e-01	3.205552e-04
3.726555838687840e-09	-1.316881e-03	1.402125e-01	3.989295e-04
3.736321463687840e-09	-1.327354e-03	1.395174e-01	4.767440e-04
